DataSourceId,Text,Label,StageOfOperation,Source,Note,BCS,COSPEvaluation,COSPNumber
2006UALA02322,"RETURNED TO THE FIELD IN BOS DUE TO A PRESSURIZATION PROBLEM.  CABIN ALT AUTO 1-2 FAILED.  CREW VERBAL, MANUAL FAILED AT22000FT  AT DECENT MANUAL MODE STARTED TO WORK.   CHECKED BOTH PACK FLOW CONTROL VALVES FOR DAMAGED THROAT PRESSURE SENSING PROBES.  CHECKED OUTFLOW VALVE LINKAGE FOR SMOOTH OPERATION & NO DAMAGE.  REPLACED CABIN PRESSURE OUTFLOW VALVE ACTUATOR.  SYSTEM OP CHECKED OK FOR SERVICE. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING, EMER. DESCENT Part Name: CABIN PRESSURE Part Condition: WARNING LIGHT",Yes,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
2006UALA02426,"FLIGHT DIVERTED TO ORD DUE TO A SUPPLEMENTAL OXYGEN LEAK.  CREW REPORTS LOSS OF ALL O2, STATUS PAGE INDICATES LESS THAN100PSI, CREW MASKS ARE NOT INFLATING. SUPPLEMENTAL DATA UPDATE FOUND CO PILOTS O2 STOWAGE BOX AND MASK LEAKING REPLACEDO2 STOWAGE AND HOSE.  ALSO FOUND O2 BOTTLES PARTIALLY EMPTY.  SERVICED O2 TO NORMAL LEVEL. Nature of Condition:  OTHER Precautionary Procedure:  UNSCHED LANDING, EMER. DESCENT Part Name: OXYGEN SYSTEM Part Condition: LEAKING",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
2007UALA00012,"DURING CRUISE, AT APPROX FL320, CABIN PRESSURE WENT TO 10,000 FT WITH CABIN ALT WARNING HORN SOUNDING.  CREW ACCOMP EMERGENCY DESCENT TO 10,000 FT AND RETURNED TO FIELD.  FLT LANDED W/O FURTHER INCIDENT.  NO OXYGEN MASKS WERE DEPLOYED.  FLTWAS MX FERRIED FOR MX, FOUND FWD CARGO DOOR SEAL SECTION OUT OF ITS RETAINER APPROX 8 INCHES.  REINSTALLED LOOSE SEAL SECTION IN RETAINER.  PERFORMED OPS TEST OF PRESSURIZATION CONTROL SYSTEM PER MM 21-31-00.  OPS TEST GOOD.  ALSO, PRESSURIZED A/C AND LEAK CHECKED DOORS AND WINDOWS PER PCI 2897, JOB CARD J321-00-01.  LEAK CHECK GOOD.  A/C OK FOR SERVICE. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING, EMER. DESCENT Part Name: DOOR SEAL Part Condition: OUT OF POSITION",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
2008UALA05488,PRESSURIZATION PROBLEM.  RTFL.  FAULTY CHECK VALVE.  REPLACED CHECK VALVE.,No,CLIMB                                             ,Added By Random Sampling,,,,
2017F00041,RAPID DECOMPRESSION AT ALTITUDE. Nature of Condition:  OTHER Precautionary Procedure:  EMER. DESCENT Part Name: NOT REPORTED Part Condition: UNKNOWN,Maybe,CRUISE                                            ,SME Feedback,,,,
2017F00106,"AT 15.000 FT OF ALTITUDE THE OVERHEAD (MASTER CAUTION ILLUMINATE AND THE ""PASS OXY ON"" LIGHT ILLUMINATE THE BLEED AIR CONTROL PANEL SWITCHES WEW IN NORMAL POSITION ALSO THE HIGH ALT LDG SWITCH WAS WHEN POSITION THE LAND ALTITUDE WITH 13.350FT ALT THE OXY MASK DEPLOYED.  REPLACED OXYGEN  PRESSURE SWITCH, AND CHANGED FLOW CONTROL VALVE. Nature of Condition:  OTHER Precautionary Procedure:  OTHER Part Name: PRESSURE SWITCH Part Condition: FAULTY",Yes,DESCENT                                           ,SME Feedback,Cabin O2,,,
2017F00120,QRF TO ORIGIN AIRPORT DUE TO LEFT PACK TRIP OFF LIGHT ILLUMINATES FOLLOWED OF CABIN CLIMB OF 3000 FT/MIN UNCONTROLLABLE.PILOT DECIDED TO PERFORM IMMEDIATE DESCENT. CABIN ALTITUDE WARNING SHOWED. LEFT DUCT NOT WORKING PROPERLY. WAS CLEANEDTURBINE INLET OVERHEAT SW ACM LT SIDE AND PERFORMED AIR CYCLE SYSTEM THERMAL SW TEST. ALSO BLEED AIR CONTROL SYSTEM OPERATIONAL TEST WAS PERFORMED. FINALLY PACK VALVE WAS REMOVED AND REPLACED. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING Part Name: VALVE Part Condition: FAULTY,Maybe,CLIMB                                             ,SME Feedback,,,,
2017F00163,DURING CLIMB APPROXIMATELY FL 230 MASTER CAUTION WITH OVERHEAD PASS OXY LIGHT ON. WAS PERFORMED PRESSURIZATION SYSTEM ADJUSTMENT TEST. IN ENGINE RUNNUP OK. NO FOUND DISCREPANCIES. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING Part Name: UNKNOWN Part Condition: OUT OF ADJUST,No,CLIMB                                             ,SME Feedback,No Decompression,,,
2017FA0000097,AFTER TAKEOFF BLEED TRIPOFF RT ILLUMINATED AND PACK TRIPOFF LT ILLUMINATED. PRECOOLER CONTROL VALVE RT REMOVED AND REPLACED AND COMPRESSOR DISCHARGER OVERHEAT SWITCH LT REMOVED AND REPLACED. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING Part Name: CONTROL VALVE Part Condition: MALFUNCTIONED,Maybe,CLIMB                                             ,SME Feedback,,,,
2017FA0000473,"AFTER TAKEOFF, DURING A TURN, RECEIVED AN AUTO PACK TRIP OFF LIGHT.  DURING PROCEDURE THE OXYGEN MASK DROPPED ON AND START SOUND.  PERFORMED TROUBLESHOOTING IAW AMM 21-31-00; 36-11-05 AND AMM 36-12-35.  REPLACED THE  VALVE,  FLOW CONTROL VALVE, HIGH STAGE VALVE,  BLEED AIR REGULATOR,  PRESSURE REGULATOR, SHUTOFF VALVE, PRECOOLER CONTROL VALVE,  AND PRESSUREREGULATOR. Nature of Condition:  AFFECT SYSTEMS Precautionary Procedure:  UNSCHED LANDING Part Name: CABIN PRESSURE Part Condition: MALFUNCTIONED",No,CLIMB                                             ,SME Feedback,No Decompression,,,
2018FA0000048,"THE AIRCRAFT EXPERIENCED A FAILURE OF THE AUTO & STANDBY PRESSURIZATION SYSTEMS AT FL350. THE CABIN ALTITUDE WARNING ACT IVATED. THE PILOT INSTRUCTED THAT OXYGEN MASKS. THE CABIN ALTITUDE CONTINUED TO CLIMB PASSED 10,000 FT. DECENDED TO 9000  FT MSL, CHECKED MANUAL MODE AND PRESSURIZATION WORKED.  RETURNED TO DEPARTURE.   ",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
21GA201702110001,"DURING CRUISE AT FLT LEVEL 390 LEFT ENGINE FLUCTUATED ERRATICALLY 400 DEGREES, OTHER PARAMETERS NORMAL Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING Part Name: ENGINE Part Condition: FLUCTUATES",No,CRUISE                                            ,SME Feedback,Engine,,,
22AA200900003,"LEFT BLEED TRIP OFF LIGHT ON AT CRUISE - RESET OK. DUCT PRESSURE SPLIT LT 13 PSI/ RT 37 PSI. ON INITIAL DESCENT RT BLEEDTRIPPED. PRESSURIZATION UNCONTROLLABLE. ALT APPROX. 360, CABIN ALTITUDE RISING RAPIDLY TO GREATER THAN 10,000.  THE FLIGHT MADE AN EMERGENCY DESCENT AND ALL MASKS DEPLOYED. AN EMERGENCY WAS DECLARED. THE FLIGHT LANDED IN DFW WITHOUT FURTHER INCIDENT. MAINTENANCE REPLACED THE OUTFLOW VALVE IAW AMM 21-31-03, OPS TEST OK AMM 21-31-00. THE AIRCRAFT WAS GROUNDED. (SEE ALSO SDR'S AALA20170508011, AALA201705119033, AALA201705119034, AALA201705119035, AND AALA201705119036.) Nature of Condition:  WARNING INDICATION Precautionary Procedure:  EMER. DESCENT, O2 MASK DEPLOYED Part Name: OUTFLOW VALVE Part Condition: FAULTY",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
29EA02292017,PAX OXYGEN MASK ROW 8 F E D DROPPED AND FIRED.  REMOVED AND REPLACED  THE OXYGEN GENERATOR ON ROW 8 FED IAW AMM 35-22-11. Nature of Condition:  OTHER Precautionary Procedure:  OTHER Part Name: OXYGEN MASK Part Condition: UNWANTED DEPLOY,No,LANDING                                           ,SME Feedback,O2 masks,,,
96ZZZM1223,"FLT NR 501 - ALB-MCO - EXPERIENCED PRESSURIZATION PROBLEMS AT FL 350 (MAX PRESS DIFF) CABIN BEGAN CLIMBING AT 1,000 PLUS.  OUTFLOW WAS FULL CLOSED AND UNABLE TO CONTROL CABIN PRESSURE.  OXYGEN MASKS DEPLOYED.  ACCOMPLISHED EMERGENCY DESCENT TO 10,000 AND PERFORMED AND UNSCHEDULED LANDING AT ORF.  AIRCRAFT WAS FERRIED TO MCO.  TROUBLESHOT PRESSURIZATION FAILURE TO SAFETY RELIEVE VALVES.  REMOVED AND REPLACED VALVES IAW 737MM 21-32-21.  OPS CHECK NORMAL.",Yes,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
9WGA2020062971501,CABIN ALTITUDE LEVEL 3 ALERT IN FLIGHT. PERFORMED EMERGENCY DESCENT PER QRH. CABIN REACHED 12000 FEET.     ,Maybe,CRUISE                                            ,SME Feedback,,,,
9WGA2020072158101,"DIVERSION DUE TO UNABLE TO MAINTAIN CABIN ALTITUDE. CABIN INFLOW LOW ALERT DISPLAYED SHORTLY AFTER TO. AIRCRAFT UNABLE T O MAINTAIN CABIN ALTITUDE UNDER 10,000FT.    ",Maybe,CRUISE                                            ,SME Feedback,,,,
9WGA2020091958101,"CABIN PRESSURE RELIEF, FOLLOWED BY CABIN INFLO LOW, FOLLOWED BY LEVEL 3 CABIN ALTITUDE.     ",Maybe,CLIMB                                             ,SME Feedback,,,,
9WGA2021041951301,CABIN ALTITUDE ALERT ON DESCENT AT FL190.     ,Maybe,DESCENT                                           ,SME Feedback,,,,
AALA20030004,"KIN - FLT 924 - EN ROUTE MDE-MIA, UNCOMMANDED CLIMB OF CABIN BY BOTH AUTO CONTROLLERS.  CABIN ALTITUDE ALERT SOUNDED ANDEMERGENCY DESCENT INITIATED AND OXYGEN MASKS DEPLOYED.  LANDED AT KIN WITHOUT FURTHER INCIDENT.  FOUND OVERHEAD CABIN PRESSURE SELECTOR PANEL INOPERATIVE.  REPLACED PANEL AND NR 1 CABIN PRESSURE CONTROLLER.  PERFORMED PRESSURIZATION CHECK.SYSTEM GROUND CHECKED NORMAL OPERATION.  (M) Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING, EMER. DESCENT Part Name: CONTROL PANEL Part Condition: DEFECTIVE",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
AALA20150518009,"AIR INTERRUPT, EMER DECLARED, LANDING UNEVENTFUL & ACFT OVERWEIGHT.  DURING CLIMB THE AIL COMPARTMENT TEMPERATURE HIGH LIGHT ILLUMINATED.  ACCOMPLISHED TAIL COMPARTMENT LEAK CHECK, WC 36-95-14.  FOUND DUCT LEAKING BETWEEN RT AIR CYCLE MACHINE & RT HEAT EXCHANGER.  R & R PERISEALS IAW AMM 21-00-00.  PERFORMED LEAK CHECK WITH NO LEAKS NOTED.  SYS CHECKED NORMAL. Nature of Condition:  OTHER Precautionary Procedure:  UNSCHED LANDING Part Name: SEAL Part Condition: LEAKING",Yes,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
AALA20151229010,"CABIN PRESSURIZATION COULD NOT BE MAINTAINED BELOW 10,000 FT CABIN ALTITUDE.  EMERGENCY DECLARED, RETURNED & LANDED UNEVENTFULLY.  CHECKED RT AIR CONDITIONING PACK & FOUND DUCTS LEAKING.  TORQUED DUCT CLAMPS & PERFORMED CABIN LEAK DOWN TESTFROM 4.0 PSID WITH APU ONLY IAW FRM FIM 21-00-05-780-801.  LEAK TESTED WITHIN LIMITS.  ACFT OK FOR SERVICE. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING Part Name: CLAMP Part Condition: LOOSE",Yes,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
AALA20160308003,"MKE - FLT 891 - ON CLIMB-OUT, THE PRESSURIZATION AUTO FAIL LIGHT ILLUMINATED.  CAPT TOOK OVER FOR THE FIRST OFFICER, WHOWAS FLYING THE A/C, AND THE FIRST OFFICER WENT THROUGH THE QUICK REFERENCE HANDBOOK PROCEDURES.  SWITCHED TO STANDBY SYSTEM AND CABIN WENT TO 10,000 FT WITH WARNING HORN SOUNDING.  OXYGEN MASKS DROPPED WHEN A/C WAS APPROX AT 12,000 FT.  SWITCHED TO MANUAL CONTROL AND RETURNED TO FIELD AT MKE.  FLIGHT LANDED WITHOUT FURTHER INCIDENT.  NO EMERG WAS DECLARED.MX REMOVED AND REPLACED THE CABIN PRESS CONTROLLER AND THE CABIN PRESSURE SELECTOR PANEL (P/N 711002-5).  OPERATIONAL CHECK NORMAL.  PRESSURIZED A/C.  OPS CHECK GOOD.  REMOVED AND REPLACED PAX OXYGEN BOTTLE AND REPACKED OXYGEN MASKS.  (M) Nature of Condition:  WARNING INDICATION Precautionary Procedure:  O2 MASK DEPLOYED, UNSCHED LANDING Part Name: CONTROLLER Part Condition: FAILED",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
AALA20170103002,AIRCRAFT WAS GROUNDED. EMERGENCY DECLARED. BHX-JFK FLIGHT DIVERTED TO LHR ACCOUNT LEFT ENGINE HIGH STAGE WARNING INDICATION. OVERWEIGHT LANDING UNEVENTFUL. REMOVED AND REPLACED LEFT HIGH STAGE PILOT VALVE IAW AMM 36-11-08 AND LEFT HIGH PRESSURE SHUTOFF VALVE IAW AMM 36-11-07(AALA20170106005). OPERATIONAL CHECK GOOD. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING Part Name: VALVE Part Condition: FAULTY,No,CLIMB                                             ,SME Feedback,Engine,,,
AALA20170106005,AIRCRAFT WAS GROUNDED. EMERGENCY DECLARED. BHX-JFK FLIGHT DIVERTED TO LHR ACCOUNT LEFT ENGINE HIGH STAGE WARNING INDICATION. OVERWEIGHT LANDING UNEVENTFUL. REMOVED AND REPLACED LEFT HIGH STAGE PILOT VALVE IAW AMM 36-11-08(AALA20170103002) AND LEFT HIGH PRESSURE SHUTOFF VALVE IAW AMM 36-11-07. OPERATIONAL CHECK GOOD. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING Part Name: VALVE Part Condition: FAULTY,No,CLIMB                                             ,SME Feedback,Engine,,,
AALA20170413004,AT FL 370 PRESSURIZATION AUTO FAIL LIGHT CAME ON. SWITCHED TO ALTERNATE CONTROLLER. THE CABIN PRESSURE BECAME ERRATIC WITH ALT LT ON AND FLT ALT & LAND ALT WINDOW BLANK. THE FLIGHT DECLARED AN EMERGENCY AND DIVERTED TO SJU WITHOUT FURTHER INCIDENT. MAINTENANCE REMOVED AND REPLACED NO 2 CABIN PRESS CONTROLLER IAW AMM 21-31-01. ACCOMPLISHED PRESSURIZATION SYSTEM GROUND TEST IAW AMM 31-31-00-700-802 AND CKD SATIS. THE AIRCRAFT WAS NOT GROUNDED. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING Part Name: CONTROLLER Part Condition: FAILED,Maybe,CRUISE                                            ,SME Feedback,,,,
AALA20170508011,"LEFT BLEED TRIP OFF LIGHT ON AT CRUISE - RESET OK. DUCT PRESSURE SPLIT LT 13 PSI/ RT 37 PSI. ON INITIAL DESCENT RT BLEEDTRIPPED. PRESSURIZATION UNCONTROLLABLE. ALT APPROX. 360, CABIN ALTITUDE RISING RAPIDLY TO GREATER THAN 10,000.  THE FLIGHT MADE AN EMERGENCY DESCENT AND ALL MASKS DEPLOYED. AN EMERGENCY WAS DECLARED. THE FLIGHT LANDED IN DFW WITHOUT FURTHER INCIDENT. MAINTENANCE REPLACED THE NR 1 ENGINE BLEED AIR REGULATOR IAW AMM 36-11-03, OPS CHECK OK. THE AIRCRAFT WAS GROUNDED. (SEE ALSO SDR'S AALA201705119033, AALA201705119034, AALA201705119035, AALA201705119036, AND AALA201705119037.) Nature of Condition:  WARNING INDICATION Precautionary Procedure:  EMER. DESCENT, O2 MASK DEPLOYED Part Name: REGULATOR Part Condition: FAULTY",Yes,DESCENT                                           ,SME Feedback,,AAL-AAL-17-0827,COSP Reportable,2017-0851
AALA201705119033,"LEFT BLEED TRIP OFF LIGHT ON AT CRUISE - RESET OK. DUCT PRESSURE SPLIT LT 13 PSI/ RT 37 PSI. ON INITIAL DESCENT RT BLEEDTRIPPED. PRESSURIZATION UNCONTROLLABLE. ALT APPROX. 360, CABIN ALTITUDE RISING RAPIDLY TO GREATER THAN 10,000.  THE FLIGHT MADE AN EMERGENCY DESCENT AND ALL MASKS DEPLOYED. AN EMERGENCY WAS DECLARED. THE FLIGHT LANDED IN DFW WITHOUT FURTHER INCIDENT. MAINTENANCE REPLACED NR 1 ENGINE PRECOOLER CONTROL VALVE IAW AMM 36-12-02. ALSO REPLACED THE NR 1 ENGINE 450DEGREE THERMOSTAT IAW AMM 36-11-05 AND NR 1 ENGINE HIGH STAGE REGULATOR VALVE IAW CARD 36-94-11 AS A PRECAUTION. THE AIRCRAFT WAS GROUNDED. (SEE ALSO SDR'S AALA20170508011, AALA201705119034, AALA201705119035, AALA201705119036, AND AALA2017 Nature of Condition:  WARNING INDICATION Precautionary Procedure:  O2 MASK DEPLOYED, EMER. DESCENT Part Name: CONTROL VALVE Part Condition: FAULTY",Yes,DESCENT                                           ,SME Feedback,,AAL-AAL-17-0827,COSP Reportable,2017-0851
AALA201705119034,"LEFT BLEED TRIP OFF LIGHT ON AT CRUISE - RESET OK. DUCT PRESSURE SPLIT LT 13 PSI/ RT 37 PSI. ON INITIAL DESCENT RT BLEEDTRIPPED. PRESSURIZATION UNCONTROLLABLE. ALT APPROX. 360, CABIN ALTITUDE RISING RAPIDLY TO GREATER THAN 10,000.  THE FLIGHT MADE AN EMERGENCY DESCENT AND ALL MASKS DEPLOYED. AN EMERGENCY WAS DECLARED. THE FLIGHT LANDED IN DFW WITHOUT FURTHER INCIDENT. MAINTENANCE REPLACED NR 2 ENGINE BLEED AIR REGULATOR IAW AMM 36-11-03. THE AIRCRAFT WAS GROUNDED. (SEE ALSOSDR'S AALA20170508011, AALA201705119033, AALA201705119035, AALA201705119036, AND AALA201705119037.) Nature of Condition:  WARNING INDICATION Precautionary Procedure:  EMER. DESCENT, O2 MASK DEPLOYED Part Name: REGULATOR Part Condition: FAULTY",Yes,DESCENT                                           ,SME Feedback,,AAL-AAL-17-0827,COSP Reportable,2017-0851
AALA201705119035,"LEFT BLEED TRIP OFF LIGHT ON AT CRUISE - RESET OK. DUCT PRESSURE SPLIT LT 13 PSI/ RT 37 PSI. ON INITIAL DESCENT RT BLEEDTRIPPED. PRESSURIZATION UNCONTROLLABLE. ALT APPROX. 360, CABIN ALTITUDE RISING RAPIDLY TO GREATER THAN 10,000.  THE FLIGHT MADE AN EMERGENCY DESCENT AND ALL MASKS DEPLOYED. AN EMERGENCY WAS DECLARED. THE FLIGHT LANDED IN DFW WITHOUT FURTHER INCIDENT. MAINTENANCE REPLACED THE NR 2 ENGINE PRECOOLER CONTROL VALVE IAW AMM 36-12-02. THE AIRCRAFT WAS GROUNDED. (SEE ALSO SDR'S AALA20170508011, AALA201705119033, AALA201705119034, AALA201705119036, AND AALA201705119037.) Nature of Condition:  WARNING INDICATION Precautionary Procedure:  EMER. DESCENT, O2 MASK DEPLOYED Part Name: CONTROL VALVE Part Condition: FAULTY",Yes,DESCENT                                           ,SME Feedback,,AAL-AAL-17-0827,COSP Reportable,2017-0851
AALA201705119036,"LEFT BLEED TRIP OFF LIGHT ON AT CRUISE - RESET OK. DUCT PRESSURE SPLIT LT 13 PSI/ RT 37 PSI. ON INITIAL DESCENT RT BLEEDTRIPPED. PRESSURIZATION UNCONTROLLABLE. ALT APPROX. 360, CABIN ALTITUDE RISING RAPIDLY TO GREATER THAN 10,000.  THE FLIGHT MADE AN EMERGENCY DESCENT AND ALL MASKS DEPLOYED. AN EMERGENCY WAS DECLARED. THE FLIGHT LANDED IN DFW WITHOUT FURTHER INCIDENT. MAINTENANCE REPLACED NR 2 ENGINE HIGH STAGE VALVE PER AMM 36-11-06. THE AIRCRAFT WAS GROUNDED. (SEE ALSO SDR'S AALA20170508011, AALA201705119033, AALA201705119034, AALA201705119035, AND AALA201705119037.) Nature of Condition:  WARNING INDICATION Precautionary Procedure:  O2 MASK DEPLOYED, EMER. DESCENT Part Name: VALVE Part Condition: FAULTY",Yes,DESCENT                                           ,SME Feedback,,AAL-AAL-17-0827,COSP Reportable,2017-0851
