Id,Text,Label,,,,,,,
23,"air turn back, inflight shutdown nr 1 engine experienced loud bang then rolled back during departure. approximately 3000 feet msl max takeoff thrust, flap20, 200kias. engine continued to windmill, did not attempt restart. appeared to be a light vibration during remainder off light. visual inspection of inlet & exhaust of nr 1 engine. found metal in tail pipe. require engine change. nature of condition : partial rpm power loss, vibration buffet precautionary procedure : dump fuel, emer. descent, engine shutdown part name : engine part condition : making metal",Yes,,,,,,,
24,aircraft behind unsatisfactory during taxi for takeoff reported tailpipe fire. shutdown engine #1 in accordance with checklist. gr ounded - yes. upon arrival to aircraft flight crew stated all engine 1 parameters were normal. accomplished engine vents and drains inspection of #1 engine iaw b737-900 amm 71-71-00-200-810-f00 no defects noted. oil consumption rates at engine # 1 and engine #2 are within limits. performed #1 engine idle power leak check per amm 71-00-00-700-801-f00 operation check good no defect noted,Yes,,,,,,,
25,"after both engine start, right engine eicas message & right pack off as right engine bleed off could not establish duct pressure to the right duct. after defering high pressure shut off valve, right engine has no bleed air. removed right engine pressure shutoff valve iaw amm jc-11-09. right engine high pressure shut off valve right thrust reverser remains activated, removed and replaced the right engine air supply control card. didn ' t fix the fault. removed and replaced pressure shutoff valve on # 2 engine iaw amm 36-11-09. leak check and operation check good at this time.",Yes,,,,,,,
26,"ship 6802 - inflight shutdown diversion - flight crew diverted to syr due to lost oil pressure on right engine. qrh was followed and engine was shutdown. corrective action : visually inspected inlet and exhaust - no trouble found ( n1 will turn by hand ). inspected right engine chip detectors - no trouble found. maintenance unable to turn n2 through gearbox turn pad, engine change required. right engine was replaced and aircraft rts. engine changed on logpage 1373023.",Yes,,,,,,,
27,"nr 2 engine failed at 2000 feet on takeoff. mi at 1705 feet during climb, loud noise from nr 2 engine, no engine pressure ratio, smoke in cockpit, and engine vibration. nr 2 engine had a failure of multiple stages of the turbine section. the engine and thrust reverser were removed and replaced. the engine seizure phase 2 conditional inspection was performed iaw amm 05-51-61and the parts departs airplane conditional inspection was accomplished iaw amm 05-51-59. nature of condition : smoke fumes odors sparks, vibration buffet, partial rpm power loss precautionary procedure : engine shutdown, emer. descent, unsched landing part name : engine part condition : failed",Yes,,,,,,,
28,climbing thru fl340 with engines all at climb power we felt a bump like minor turbulence. then another and another. we saw engine 2 n1 fluctuating so we suspected a compressor stall. as we were running the qrh for engine compressor stall we right eceived level 2 engine 2 loop a. we then ran engine 2 loop a checklist before finishing the compressor stall checklist. the engine loop checklist indicated no fire. the compressor stall checklist had unsatisfactory advance #2 engine slowly. all indications were normal so we elected to leave #2 at idle thru landing rollout. #2 engine replaced shgn 17apr20 18 : 38 indicator installed #2 engine ref work card 71t1701 work,Yes,,,,,,,
29,"during the landing roll with thrust reversers deployed nr 1 engine failed. grounded - yes. inspected & found 5th stage check valve stuck open. replaced check valve. leak checked good, ref amm 36-11-02. accomplished test 5 power assurance check. test engine limits good 65, 70, 75 % n1. during throttle back engine compressor stalled at approximately 60 % n1 with exhaust gas temperature 560 center, advanced throttle. compressor stall ended but repeated again when reducing throttle. was able to prevent stall by slowly reducing to idle, ref amm task 71-00-700-813-f00. replaced nr 1 engine per tc 78471000 & 78471001. ran engine, no defects noted. nature of condition : engine flame out precautionary procedure : other part name : engine part condition : failed",Yes,,,,,,,
30,"crew performed a rejected takeoff due to no right engine throttle response from idle. found right engine inboard sleeve middle locking actuator broken and bad resolver input to electronic engine controllers. replaced middle locking actuator iaw amm 78-31. performed, tested and engine ine run with confirmed increase of engine pressure ratio. ok for service.",Yes,,,,,,,
31,"during cruise at fl 400, the left engine overheated to 910 degrees with power retarded. diverted, declared emergency, and shutdown the engine. right & right the nr 1 engine iaw mt. nature of condition : over temperature, warning indication precautionary procedure : unsched landing, engine shutdown part name : engine part condition : overheated",Yes,,,,,,,
32,"suspected fuel leak, left engine. shutdown not required per qrh. 700 left b difference in 30 min. fuel flows : left engine 3.6 ; right engine 3.7. performed engine run of lt engine and inspected for leaks iaw amm 71-00-00. found no evidence of leaks from engine or fuel tanks. aircraft found to be serviceable per service letter 767-sl-28-035-a.",Yes,,,,,,,
33,"air turn back inflight shutdown declared emergency. loud bang from nr 1 engine. flames reported from exhaust of engine. pilot shutdown nr 1 engine. right & right nr 1 engine per mt. nature of condition : flame fire precautionary procedure : engine shutdown, unsched landing part name : engine part condition : failed",Yes,,,,,,,
34,flight 1668 diverted to cae due to a right engine compressor stall on climb out and erratic engine indications. the flight crew declared an emergency and landed without incident. the engine was not shutdown. maintenance found metal in the tai left pipe and the 3rd & 4th stage turbine damage. the engine was replaced.,Yes,,,,,,,
35,"the flight crew performed air turn back after the nr 1 engine stalled, rolled back, and then did not have any throttle right esponse. the nr 1 engine was shutdown by flight crew. maintenance found turbine damage and the nr 1 engine was replaced.",Yes,,,,,,,
36,"diversion - to ict for left engine compressor stall at flight level 260. associated rising exhaust gas temperature. engine power reduced to idle, compressor stalls discontinued. engine was not shutdown. flight diverted to ict. borescoped engine found 3rd, 5th and 6 th stage high pressure compressor damage. engine change required.",Yes,,,,,,,
37,"received no engine valve light when moving the fuel control valve to run on engine start. light work prior to engine start, as well as, after. performed engine fuel shut-off valve actuator test on lt and right engine, iaw b767 amm 28-22-11-801. ops test good.",Yes,,,,,,,
38,"engine failure nr 1 engine climbing thru 5k. yaw, loud bang rapidly rising exhaust gas temperature. engine exceedance 942 deg. throttle trimmed positioned to idle. engine shutdown. fire bottle discharged. replaced nr 1 engine.",Yes,,,,,,,
39,"during engine start, number 1 engine would not start. two failed attempts, once on ign left & once ign right. engine spins up normally to 25 % n2, once start lever is advanced minimal exhaust gas temperature increase to about 200 degrees then engine n2 & n1 decelerate s. aborted engine start checklist completed. grounded - yes. debriefed aircrew, verified no circuit circuit-breaker extended, performed #1 engine built in test equipment check with no defects. ref b737-900 fim 80-05 task 806. inspected turbine exhaust for signs of engine failure, no defects noted. performed #1 engine start and start failed, noticed #1 engine fuel spar valve light on. checked circuit-breaker and found it extended. re-set #1 engine spar valve circuit-breaker ref amm 20-60-01-860-801 and per",Yes,,,,,,,
40,in cruise at fl 330 we heard a loud bang then engine number 2 failed. after completing engine failure qrh and engine inf light start qrh we were able to restart engine #2. ; no indication of fire or abnormal engine indications. landing weight w as 124.1 [ 01 ] right & right ' d #2 engine per task card ttg8q0064pnj. ops. and leak check good. engine off : cfm56-7b24 ser.,Yes,,,,,,,
41,flight 2599 returned to bna due to right engine failure. compressor stall on takeoff. crew shutdown engine per qrh. maintenance found oil in tail pipe and turbine damage. the engine was replaced.,Yes,,,,,,,
42,"nr 2 engine vibration during climb out, n1 1.5 as power increased, vibration increased. right & right tcc air valve iaw amm 75 - 24. right & right the engine oil filter and checked chip detectors, no metal. performed lpc borescope 6 thru 17 stage. hpt 1 - 3 stage ; low pressure turbine 3rd stage blade inspection iaw amm 72-00. removed, lubricated and reinstalled the nr 2 engine fan blades. right & right helicoils ap 2 and ap 4. replaced the nr 2 engine fan blade set iaw 72-31. performed vibration survey, engine vibration ration remain at permitted levels.",Yes,,,,,,,
43,"nr 1 engine inbd side under thrust reverser oil is collecting on the thrust reverser, engine filter housing is wet on outside & dripping from bottom. performed a leak checked iaw b767 amm 71-00-00 test 3. nature of condition : fluid loss precautionary procedure : none part name : housing part condition : leaking",Yes,,,,,,,
44,pdis 958 72-00 6611 14sep19 tlh open u log pages : 3112691 during takeoff right engine did not reach full power. left engine 1.6 engine pressure ratio right engine 1.3 engine pressure ratio. after takeoff right engine remained at reduced power until landing. right powe right matched left at settings lower than approximately 1.3 engine pressure ratio. fact 15sep19 00 : 20 tlh replaced #2 engine fuel governor ref mm 73-21 - 01-4-4 leak operation check good.,Yes,,,,,,,
45,"during routine mx found #1 engine driven pump leaking fuel ( < p > removed and replaced & nbsp ; left engine fuel pump assembly per amm 73 - 11-01401, performed fuel leak check on left engine due to engine fuel pump replacement, ran engine at all power setting iaw 71 - 00-00, no leaks.",Yes,,,,,,,
46,"the left engine 14th stage manifold assembly separated outboard of the coupling at one of the engine ' s three high pressure bleed ports. this caused a left engine fire indication with the overheat light illuminated in the flight deck during climb after takeoff. the crew performed an in-flight shutdown of the left engine, declared an emergency, and returned to the airport ( cvg ). the airplane was removed from service ( grounded ) and the left engine ' s 14th stage manifold assembly was replaced. also replaced at the left engine were the bonding strap for the pressure regulating valve, the engine fire and overheat detection wiring, and the cooling hose for the throttle push pull cable cooling system. the strap, wiring",Yes,,,,,,,
47,"aircraft was grounded. right engine thrust reverser light stays on. ac returned to dfw as the right thrust reverser deployed indication light. emergency was declared and the ac returned to dfw. ac landed without incident, landing was not overweight. tighten and cleaned thrust reverser switch on right hand engine operations and leak check good per amm 78-32 - 02.",Yes,,,,,,,
48,the crew returned the aircraft to atl after experiencing a compressor stall in the nr 1 engine during climb. the engine was kept running at idle and the qrh was complied with. station cfr saw flames ( in the engine only ) so the flight crew pulled the fire handle for the nr 1 engine. maintenance found turbine damage and metal in tail pipe so the engine was replaced.,Yes,,,,,,,
49,"engine surge fl350 cruise m.80 min 4 bangs not shutdown operate normal post descent engine nr 1, 15-20 sec. duration, rolled back to 50 %, was experiencing mountain wave, did not spool back-up. throttles were going back and forth. engine 2 : 03 engine 1 : 03 oil service accomplished at den for flight 0309 on 04 mar 14 : 44 : 49 engine 3 : engine 4 : auxiliary power unit : opened nr 1 engine fan and reverser cowls and removed applicable borescope plugs ref amm 72-00-00-200-803-f00. lp 9092875 created against ac 8803 to clear this item from ac.",Yes,,,,,,,
50,"iffo & diversion - flight crew reported hearing loud rumbles from the left engine and then the engine flamed out. flight crew diverted to stl. maintenance checked left engine chip detector, no defects, borescope inspection per amm 72-00 no demand assigned multiple access ge. removed and replaced number nr 1 engine fuel pump, hydro mechanical unit and electronic engine controllers per amm 73-11 and 73-21. engine operational check ok.",Yes,,,,,,,
51,"aircraft was in base maintenance : aircraft failed function check flight dur to at takeoff thrust, the right engine stabilized at 98 ) ? n1 and left engine at 90 ) ? n1, as left throttle was advance to match, did not achieve 98 ) ? in climb, both th rottles achieved commanded climb power. both engines achieved climb thrust until engine anti ice applied then the spl it occurred. left ) ( 93 ) ? n1 with right ) ( 97 ) ? n1. advanced left engine and n1 did not achieve commanded n1. replaced hydromechanic al unit ( aala202002169019 ) and fuel pump ( aala202002179016 ) on left hand engine per task card 73-94-121 and amm 73-11-01.",Yes,,,,,,,
52,"aircraft was in base maintenance : aircraft failed function check flight dur to at takeoff thrust, the right engine stabilized at 98 ) ? n1 and left engine at 90 ) ? n1, as left throttle was advance to match, did not achieve 98 ) ? in climb, both th rottles achieved commanded climb power. both engines achieved climb thrust until engine anti ice applied then the spl it occurred. left ) ( 93 ) ? n1 with right ) ( 97 ) ? n1. advanced left engine and n1 did not achieve commanded n1. replaced hydromechanic al unit ( aala202002169019 ) and fuel pump ( aala202002179016 ) on left hand engine per task card 73-94-121 and amm 73-11-01.",Yes,,,,,,,
53,left engine oil pressure was decreasing rapidly. emergency declared & engine shutdown. right & right the nr 1 engine.,Yes,,,,,,,
54,"air turn back declared emergency, passing 10,000 ' with climb thrust at 95 % n1, the #1 engine started surging between - 5 to - 10 % n1.shortly thereafter #1 n1 rolled back to near idle thrust. engine indications appeared normal. engine bleed air was on and ac packs were in auto. engine anti ice was off. right & right #1 electronic engine control per amm.",Yes,,,,,,,
55,"aircraft grounded - right engine has slow acceleration in forward thrust. with both thrust levers equal in position, n1 40 percent, takeoff selected for takeoff power, right engine lagged left engine by about 8 percent initially, unequal thrust. at flight level 390, both n1 same, left engine exhaust gas temperature 654 left ( ff ) 2.42, right engine exhaust gas temperature 703 right ( ff ) 2.55. * supplemental right eport : removed and replaced #2 transient bleed valve per amm 75-23-01, operational and leak checks good.",Yes,,,,,,,
56,"air turn back, declared emergency, inflight shutdown, at 400 above ground level, nr 1 engine indicated zero oil pressure ure, qrh complied with and engine shutdown. right & right the nr 1 engine electronic engine control per amm.",Yes,,,,,,,
57,"ovheat light after to off during power back on again during thrust increase crew reported engine #1 ovht, engine #1 indications all in the norm range. engine #1 ovht light extinguishes when throttle at idle and lights back-up once throttles advanced performed hpt borescope insp on # 1 engine per amm verified installation of s17 and s11 borescope plugs per 72-00-00-200-807-f00. no defects noted. amm72-00-00-200-807-f00. cw idt gmm requireme next to shoot. performed electronic engine controllers built in test equipment on no 1 engine found no excedences of faults. installed s17 and s11 borescope plugs per ref fim true air speed k 71-06-804. performed pnuematic health check ref maintenance manual found no 1 engine cowl tai valve aft clamp missing and seal ops and left",Yes,,,,,,,
58,"aircraft returned to platform due to during right engine start, a fuel leak was detected in the right engine. maintenance personnel performed revision, detecting leak fuel by servo fuel heat in the right engine ; so the right engine servo fuel heater was replaced iaw amm task 73-11-07-000400-801-f00 and right engine was run iaw mm 71-00-00, test 3a, tested center orrect",Yes,,,,,,,
59,"climbing to approximately 436 knots, left engine oil quantity indication began to indicate oil quantity loss. emergency declared, captain started the auxiliary power unit and shutdown the left engine in-flight. the aircraft flew for approximately 20 min utes on single engine and landed safely without further incident. the engine showed no oil leaks. replaced the left engine oil quantity transmitter iaw amm 79-31-01 and accomplished high power engine runs iaw amm 71-00-00, no defects noted.",Yes,,,,,,,
60,"aircraft was grounded. right engine did not achieve target n1 on takeoff with autothrottle engaged. manually advanced right thrust lever, no additional thrust produced. on climbout past 5000 ft, right engine operated normally and matched lt engine indicating e. replaced right hydromechanical unit and right fuel pump ( aala202012029016 ), iaw amm 73-11-01. operations check good.",Yes,,,,,,,
61,"after takeoff right engine experienced compressor stalls. right exhaust gas temperature started to fluctuate followed by vibrations and popping sounds. the tower reported flames from right engine. engine was shutdown, emergency declared and flight landed without incident. removed and replaced nr 2 engine iaw alert k179063. nature of condition : flame fire, vibration buffet, partial rpm power loss precautionary procedure : engine shutdown part name : compressor part condition : stalled",Yes,,,,,,,
62,"lt engine flame out after touchdown. after landing, using full length on runway into destination station kcvg. flight crew noticed lt engine flamed out shortly after joining sierra taxi way. lt engine oil pressure light illuminated, oil pressure indicated 0 on eicas screen, status message left engine oil pressure. precautionary measures included cut off of lt engine fuel control switch with single engine taxi. aircraft grounded for unscheduled inspection and maintenance. no epcs message. right & right lt engine electronic engine controllers alternator stator control, lt engine electronic engine controllers alternator rotor, lt engine fuel pump, and lt engine fuel control. operational and leak check satisfactory. assurance flight satisfactory. no additional faults noted. aircraft relea",Yes,,,,,,,
63,"right after takeoff, heard about 5 compressor stalls from the no 3 engine also noticed flashes out of the right window. n1 exhaust gas temperature showed flucuations until power was reduced to climb power takeoff was max thrust engine operated normal remainde right of flight did not shut the engine down no engine parameters exceeded. removed and replaced number 3 engine hydro mechanical unit iaw am m 73-21-01-4-1. requires applicable adjustment test and procedures per amm task 71-00-00-700-809. performed ground il de check, flight idle check and max power assurance check engine run per md11 amm 71-00-00-5-1, all parameters are within left imits. aircraft ok for service.",Yes,,,,,,,
64,left engine valve illuminating when ground selected for start for about 45 seconds. left engine started normally after light went out and engine rotation started. cleaned left engine start valve and dry motor left engine twice per amm 71-00-00 operation check good ac ok first officer right service ac remains etops 180.,Yes,,,,,,,
65,"aircraft was grounded : pilot reports on descent, right engine oil pressure went into yellow then red at low thrust power setting. as flight progressed it took higher thrust settings to keep oil pressure out of the caution range. right engine shutdown upon landing. maintenance removed and replaced right hand engine lube and scavenge pump iaw amm 79-21-03. ops test & leak check good.",Yes,,,,,,,
66,"during descent, received a level 1 engine 3 fadec maintenance message. engine 3 throttle was unresponsive and stuck at 7 % n1. selected fadec alternate mode with no effect. shutdown the nr 3 engine in-flight, uneventful landing. replaced 3 nr 3 engine fan case wiring harnesses for the electronic engine controllers due to throttle resolver wiring shorts, channels a and b. ran engine, throttle response was normal iaw mm 71-02-06, and fim 13n tasks.",Yes,,,,,,,
67,"aircraft was grounded. right engine did not achieve target n1 on takeoff with autothrottle engaged. manually advanced right thrust lever, no additional thrust produced. on climbout past 5000 ft, right engine operated normally and matched lt engine indicating e. replaced right fuel pump and right hydromechanical unit ( aala202012029014 ), iaw amm 73-11-01. operations check good.",Yes,,,,,,,
68,"the oil filter bypass alert for nr 2 engine illuminated, reaching fl390. ran qrh, shutdown engine, declared an emergency, and returned to departure. right & right the nr 2 engine iaw mt. nature of condition : warning indication precautionary procedure : unsched landing, engine shutdown part name : engine part condition : warning message",Yes,,,,,,,
69,"inflight shutdown declared emergency, nr 2 engine failed in-flight. right & right nr 2 engine per mt. nature of condition : engine stoppage precautionary procedure : other part name : engine part condition : failed",Yes,,,,,,,
70,"declared emergency inflight shutdown. during descent into oak, low oil quantity flashing. low oil pressure ensued when engine was at idle. qrh advised engine to be shutdown. right & right engine assembly per mt.",Yes,,,,,,,
71,"left engine bleed eicas message displayed when left engine anti ice selected. opened thrust reverser on left engine and found two loose wires. tightened wires, ran engine, no messages present at this time. verified built in test equipment on famv, no messages stored iaw b767-300 amm 36-11-16 and amm 71-00-00. good.",Yes,,,,,,,
72,"air turn back during flight, the number 1 engine stalled with exhaust gas temperature rise, engine was shutdown. aircraft returned safely to departure. maintenance found metal in the tail pipe. maintenance replaced nr 1 engine iaw amm 71-11. engine run and leak checked ok, aircraft returned to service. nature of condition : warning indication, over temperature, partial rpm power loss precautionary procedure : engine shutdown, unsched landing part name : engine part condition : failed",Yes,,,,,,,
73,"eicas message left fuel spar valve after engine start engine shutdown after uncommanded exhaust gas temperature rise ( < p > performed operational check of engine shut-off valve, normal on valve on, flight deck indication normal iaw amm 28-22-01. engine idle power run cks norma left 72-00-00 < br > < p > )",Yes,,,,,,,
74,returned to departure for engine failure. crew reported at 3800 ' heard a compressor stall and right engine parameters rolled back and exhaust gas temperature climbed. followed the qrh and shutdown the right engine. emergency declared. maintenance found turbine e damage and the right engine was replaced.,Yes,,,,,,,
75,"aircraft was grounded : pilot reports at 1200ft above ground level ( right ) engine thrust reduced to 34 % ( left ) 70 %, ( left ) ff 2000 ( right ) ff 4000, au to throttle disconnected. ( right ) engine control light illuminated ( right ) engine stabilized. ( right ) engine control remained illuminated until shutdown. maintenance removed and replaced right engine left vsv actuator bell crank assembly iaw em 75-00-02. acc omplished idle leak check, actuators test and takeoff power assurance check iaw amm 71-00-003. ops and leak checks good.",Yes,,,,,,,
76,"at 27,000 ft left engine produced a loud bang and immediately following the engine pressure ratio, n1, n2 rolled back to idle. we conduct ed the engine severe damage qrh and landed with the left engine at idle. the right engine never exceeded any limits during the failure. ref log page 565653 for removed and replaced left engine per workcard 88-7110-9-0010. good. aircraft ok for service.",Yes,,,,,,,
77,"aircraft was grounded : pilot reports upon gate arrival, left engine fuel control switch did not shutdown engine. cycled twice. engine shutdown with t-handle. maintenacne accomplished system operation check iaw amm 71-00-00, found left engine housing assembly pressure valve switch needs to be replaced. removed and replaced left engine housing assembly pressure valve switch iaw amm 73-21-21-15-40, left engine operation check normal and shutdown normal, ok for service.",Yes,,,,,,,
78,"aircraft was grounded : pilot reports during climb out from snu, the #1 n1 was 34 % below on the left engine from the right engine. exhaust gas temperature was 25 less, fuel flow 0.50 less, both bleeds & packs on, isolation valve auto. increasing thrust lever h ad no effect. once in cruise & descent all engine indications were matched up. autothrottle was on throughout except when moving throttle. maintenance troubleshot to engine fuel pump. maintenance removed and replaced fuel pump iaw amm 73-1 1-01. hydro mechanical unit replaced as precautionary. accomlished high power run and leak check ok. ok for servce.",Yes,,,,,,,
79,"started left engine all normal. started right engine, all normal left engine rolled back, shutdown, visually inspected the nr1 engine inlet and exhaust, interrogated epcs and eicas, no faults or defects noted. performed fim task 73-21-00-815-802-p00, performed fuel pump pressure check 4 on nr 1 engine iaw fim task. removed and replaced nr 1 engine fuel pump filter. iaw mm 73-11-02 performed wiring check on left electronic engine controllers to permanent magnet alternator using fim 73-21 - no fault messages shown. inspected filter and found no debris. 00-815-802-poo step 8. no fault found. performed step 9 open cir the fim fuel pump filter requires leak check per power plant table. cuit check per same fim above without any fault. iaw mm 71-00-00501. right & right relays k nature of condition : engine stoppage precautionary procedure : return to block part name : relay part condition : faulty",Yes,,,,,,,
80,aircraft 3603 - inflight shutdown air turn back - returned to atl and declared an emergency due to number 2 engine failure. flight crew performed qrh and shutdown the engine. corrective action : inspection found damage to 8th stage high pressure compressor blades. replaced #2 engine refer to log page 1558574.,Yes,,,,,,,
81,"right "" engine valve "" light did not illuminate on shutdown. engine shuts down immediately on selection of "" cut off "". cycled indicator light and light test normal. operated switch with engine off, light ops normal. started engine, light operational. performed operation check of the right engine spar valve iaw amm 28-22 - 01. ops checks good. no defects noted.",Yes,,,,,,,
