Id,Text,Label,,,,,,,
37,"flight 238 las sfo at top of descent noticed approximately 1400 left b imbalance never had center tank fuel, center pumps off whole flight. when noticed left tank read 5.51 right tank read 4.17, crossfeed valve operated normally per light, rebalance before landing sfo. grounded - yes. performed b737-800 fim task 05-51-48-211-801 fuel imbalance exceedance - no conditional inspection required performed fim task 28-41 task 820 imbal message performed fuel quantity built in test equipment test procedure amm 28-4 1-00-740-001 - no faults indicated manually checked fuel tanks per alternate fueling procedure per re-fueling manual ok first officer right service.",Yes,,,,,,,
38,"aircraft was grounded : mia gru, fuel disagree eicas 9.1lbs diff totalizer vs calculated. flight air returned to mia account a discrepancy between the calculated fuel quantity and the fuel totalizer quantity. n7lc was displaying a fuel disagree and the fuel totalizer was displaying a quantity that was approximately 8000lbs less than the calculated fuel qty. since the discrepancy was increasing with time the crew decided to return to mia. emergency was declared. * supplementa left action sect. 4 and 5 : removed & replaced left engine fuel pump iaw amm 73-11-01 removed & replaced left engine hydro mechanical unit ( pn uni004 4, sn wygf4825 ) iaw amm 73-21-14 * ( closed )",Yes,,,,,,,
39,"aircraft was grounded : in cruise with all fuel pumps on and fuel in center tank, aircraft began burning fuel from right tank. supplemental report : accomplished built in test equipment of ufi per fim 28-22-00-810-822 showed no faults. re primed pump per amm 28 - 22-41. operational checked normal. ( closed )",Yes,,,,,,,
40,"aircraft was grounded, during climb thru 10,000 ft, noticed 2000 left b fuel imbalance, left main low, all indications no rmal. reduced power and returned departure, fuel imbalance reduced to 1500 with lower power settings on descent, no fuel leaks noted from wing vent or lt engine in-flight or on ground. emergency declared. stuck tanks to verify fuel quantity tity iaw fueling manual. accomplished fqis built in test equipment iaw fim 28-44-00. accomplished engine runs and leak check with pilot s. no leaks found.",Yes,,,,,,,
41,"aircraft was grounded : diverted iah account reported fuel imbalance. fuel quanity imbalance. left main decreasing right, main does not. emergency declared. performed fuel transfer and fuel quanity stick check. acc omplished ops test fqis iaw amm 28-41-00-710 no fault found, no popped circuit-breaker found. performed engine run using right fuel pumps. operation check normal iaw 71-00-00 could not duplicate fault.",Yes,,,,,,,
42,"while ts mel 28-12b, found center tank fuel qt indicator at refuel panel inoperable. grounded yes. removed and replaced center tank refuel qty indicator, ref b737-800 amm 28-41-61401. operations check pass.",Yes,,,,,,,
43,"left center tank fuel pump low pressure light does not illuminate with center tank fuel depleted. grounded yes. performed b737-800 fim 28-22 task 820, found fuel boost ( center-left tank ) inoperable. right & right fuel boost pump pressure switch, ref b737-800 mm 28-42-11. operations test passed, ground verification successful. maintenance procedures reversed back to normal. placards removed, this clears mel 28-3f & 28-2e. seamc mike notfiied. m67733 11302020.",Yes,,,,,,,
44,aircraft was grounded : fuel auto transfer fault in-flight with associated fuel imbalance center tx left xfr pump do not with center tank empty when back in crossfeed auto. replaced center tank left jettision pump.,Yes,,,,,,,
45,"left center tank fuel pump low pressure light illuminated with center tank fuel at 23k lbs and switch in the on position. grounded - yes. removed and replaced center tank boost pump per b737-800 amm 28-22-46, etops ground verification norma left.",Yes,,,,,,,
46,"center tank fuel is empty for this flight. on taxi out, got flight management computer message verify fuel and gross weight on taxi out center tank quantity indicator blanked, just before returning to gate, center tank quantity indicator returned. grounded - yes. removed fuel qty processor per b737-800 amm 28-41-81-000-801. installed fuel qty processor unit per amm 28-41-81-400-80 1. performed fuel quantity indicator system ops test per amm 28-41-00-710-801 ops test passed with no faults.",Yes,,,,,,,
47,"aircraft was grounded : ecam fuel f, used fuel on-board disagreed fuel leak proceeded applied intermittent change to ove right read procedures applied 10 percent of time fob calculated @ 1200 below. an emergency was declared and the aircraft diversion erted to msy where it landed safely without further incident. replaced fuel quantity indication computer and accomplished a satisfactory operational check per amm 28-42-322.",Yes,,,,,,,
48,fueler reports #2 fuel gauge inop @ fueling panel. grounded - yes. removed & replaced #2 fuel gauge per b737-800 amm 28-4 1-61.,Yes,,,,,,,
49,"fuel imbalance indication came on 1 hour from landing. the fuel imbalance checklist was run. there were no abnormal engine indications, no suspected fuel leak and no fuel loss. the wings were level and the airplane was in trim. grounded - yes. performed fqis built in test equipment procedure. built in test equipment test passed. no current fault and inflight fault and ground test passed b73 7-800 fim 28-41 task 801. note, there was fuel difference of 1000 lbs between tank 1 and tank 2 told by pilot. perf ormed fim 28-41 task 820 through step d ( 1 ) ( center ). performed fuel boost pump output pressure test, ref b737-800 amm 28-22-0 0-720-803. all boost pumps within pressure limits. nr 1 aft : 23psi, nr 1 forward : 24psi, nr 2 aft : 24psi, nr 2 forward : 24psi,",Yes,,,,,,,
50,"number one main fuel tank, aft fuel pump, low pressure light illumiinated. ran qrh procedure due to light remaining illuminated. grounded - yes. removed and replaced #1 main fuel aft pump iaw b737-800 amm 28-22-41. operation check good. no leaks noted at this time.",Yes,,,,,,,
51,aircraft was grounded : fuel left wing tank overflow message ecam in-flight turned center tank left transfer off no fuel in center tank. emergency canceled nuisance ecam. * supplemental report will be submitted * ( open ),Yes,,,,,,,
52,"aircraft was grounded : 1 hour + 20 minutes into flight green "" fuel ot xfrd "" ecam checked fuel outer tank at 0-left tank about 2000# right tank 8000# right tank quantity was flashing. aircraft diverted to stl due to a fuel imbalance where it landed without further incident. note : no emergency was declared. replaced left main high level sensor 17 qj1 per amm 28 - 46-15.",Yes,,,,,,,
53,#1 engine fuel flow transmitter fuel leak. grounded - yes. removed and replaced #1 engine fuel flow transmitter ref b737-900 amm 73-31-01. leak check good. no defects noted.,Yes,,,,,,,
54,fueler noted #2 fuel tank indicator blank. grounded - yes. cycled fuel shut-off valve switch to #2 tank. #2 main quantity re-stored ref b737-800 amm 28-41-61.,Yes,,,,,,,
55,center fuel tank refuel indicator. flashed fail. grounded - yes. on deferral.,Yes,,,,,,,
56,"right wing fuel panel 632kb small fuel leak. grounded - yes. removed panel #632kb on right wing. replaced gasket & reinstalled right wing lower fuel 632kb in ref to b737-900 amm 28-11-11-400-801, transfer fuel back, soaked for a hour, no leaks noted. ok for service.",Yes,,,,,,,
57,"right wing center tank panel 631bb access door ( 6 ), has a small fuel leak. grounded - yes. retorqued right center fuel tank panel lower 631bb access door ( 6 ) in ref to b737-900 amm 28-11-31. no leaks noted. ok for service.",Yes,,,,,,,
58,"departed with 8.5 in right main tank. while burning center tank fuel, right main quantity slowly dropped to 7.8. after center enter tank was empty, discrepancy between main tanks ranged from 700 to 400 pounds. fuel used was always matched on both sides. flight departed with 36.2 on fuel. on approach discrepancy was 600 lbs. on shutdown, discrepancy was 300 lbs. first officer b 6.2 on shutdown. fuel used indicates 28,600. grounded - yes. performed fqis built in test equipment procedure iaw fim 28-41, task 801. no faults found. no fault history found. drained fuel from right main tank for water sample testing iaw amm 12-11-00-650 - 804. found no water contamination. due to history of problem, replaced the fuel quantity processor unit as a precauti",Yes,,,,,,,
59,"fuel quantity initially 40.8 total 8.64 23.5 8.64. less than 5 min after engine start qty was 7.68 22.6 8.6 ( #1 qty dropped nearly 1000 pounds ). no other abnormal indications. all 6 pumps on. note "" total "" fuel also dropped ( mirrored the loss #1 qty indication ). grounded - yes. accomplished fqis system test #1 tank comp 59.03 406.9 total. removed and replaced #1 comp and 1-5 tank units iaw b737-800 amm 28-41-21401. removed and replaced fuel probes 9-12 ref amm 28-41-2 1401. removed and replaced fuel probes 7 and 6 iaw amm 28-41-21401. removed and replaced fuel probe #8 ref amm 28-41-2 1. fqis operational check complete and #1 main fuel tank leak check complete. operation check good.",Yes,,,,,,,
60,fueler reports tank 31 fueling panel reads id fail. grounded - yes. replaced tank #1 re-fueling quantity indicator at ref ueling panel ref b737-800 amm 28-41-61-000-801400-801. ops tests good. indicator shows correct readout and proper fuel indication.,Yes,,,,,,,
61,"during cruise while transferring fuel, noticed the nr 1 aft low pressure light failed to illum when nr 1 fuel pump switch ( aft ) was placed to off position. all other pump low pressure lights illum normally. fuel flow for both engines matched and once balanced fuel levels decreased normally on both sides. grounded - yes. performed ops ck of nr 1 tank aft pump pressure switch, per b737-900 amm 28-42-11-700801 & ops cks good.",Yes,,,,,,,
62,"nr 2 engine requires deferral for fuel oil heat exchanger drain fuel leak at 6 dpm. grounded yes. removed and replaced nr 2 engine fuel oil heat exchanger, ref b737-900 amm 79-21-02401. leak check good.",Yes,,,,,,,
63,aircraft was grounded : aircraft diverted to lit due to a 1620 pound fuel imbalance. crew suspected a fuel leak on the right wing. no emergency was declared and the aircraft landed at lit with out further incident. * supplemental report for aala202112276746 : replaced left inner fuel quantity ca densitometer icon 19qt * ( closed ),Yes,,,,,,,
64,"starting sometime after center tank fuel completely burned, the center tank fuel indication of "" 0.00 "" will go blank, followed shortly there after by the total fuel indication, both indications will return a few seconds later. all other fuel qty and flow indications operated normally. actual fuel burn was in accordance with flight plan predictions. grounded - yes. performed fqis built in test equipment procedure inflight fault processes failed. current status no fault. inflight fault found to be intermittent. performed 30 day maintenance check history in accordance with b737-800 fim 28-41 task 801,",Yes,,,,,,,
65,#1 engine fuel pump pad drain has a streaming fuel leak after starter cutout and continues to leak at idle without slowi ng. 2 attempts to start engine with the same result. grounded - yes. removed and replaced #1 engine main fuel pump ref b737 - 9 amm 73-11-01-000-801-600 and amm 73-11-01-400-801-600. ops and leak ck good no leaks noted.,Yes,,,,,,,
66,"right center tank fuel pump low pressure caution light illuminated with fuel ( 700 pounds ) in center tank. grounded - yes. perfmd b737-800 fim 28-22 task 802, center tank right fuel pump low pressure warn system fails step e. ( 6 ) low pressure lt in over-head rem ains on w pump on ( 14,000 lbs in center tank ). center tank right fuel pump low pressure warn system inop released per mel 28-3f. #2 center boost pump. low pressure light remains on. cleaned and applied anti-corrosion compounds to inside and outside of boost pump pressure switch connector per b737-800 amm 28-42-11-420-801 step 3. left. ( 6 ) and ( 7 ). boost pump ops ckecks good after cleaning and re-seating. etops significant system ground verification successful ref fim 28-22 t",Yes,,,,,,,
67,aircraft was grounded : on climb out thru 10k fuel right tank pump 2 low pounds per square inch. ecam message displayed. replaced r2 fuel pump and accomplished a satisfactory leak operational check per amm 28-21-51.,Yes,,,,,,,
68,main tank #2 aft fuel low pressure light illuminated in climb & cruise fuel quantity 8.5 in tank. grounded - yes. removed and replaced main tank #2 aft boost pump motor impeller per b737-800 amm 28-22-41. leak checked and op ' s checked good. al left indications normal.,Yes,,,,,,,
69,"aircraft was grounded : during climb out, right main tank fuel quantity dropped from 8.4 to 6.6 in a few minutes. center tank fuel fed normally. fuel flow rate and fuel used balanced and normal. preformed fuel quantity indicating system built in test equipment. built in test equipment check passed per fim 28-41-00-810-814. suspect fuel quantity indicating system tem processor faulting, removed and replaced processor ( aala202210112593 ) per amm 28-41-81. operations checks good. insp ected ground studs on front spar right no faults. removed and replaced number 2 probe ( aala202210114145 ) performed capacitance, resistance, and built in test equipment check reference amm 28-41-21-401. capacitance and resistance test within",Yes,,,,,,,
70,left aft main fuel pump low pressure light came on at cruise. grounded - yes. removed and replaced #1 tank aft fuel boost pump per b737-800 amm 28-22-41. operation check good.,Yes,,,,,,,
71,right center tank fuel boost pump low pressure light going on off ( 12k in tank ). grounded - yes. on deferral.,Yes,,,,,,,
72,aircraft was grounded : aircraft diverted to phx due to an ecam alert for trapped fuel of 5300 pounds that could not be transferred and would not be enough to get to destination of sfo. no emergency was declared and the aircraft landed at phx with out further incident. maintenance performed tsm 28-26-00-810-815-a transfer fuel to the correct configuration with no faults noted. during the trouble shooting maintenance found the fuel quantity in tanks wrong and transferred fuel to correct quantity for tanks and cleared fault. it was determined that the fuel quantity indication computer required replacement and replaced it per amm 28-42-34. a satisfactory operational check was accomplished with no faults noted.,Yes,,,,,,,
73,during prep for tow found #2 engine main oil fuel heat exchanger pad drain dripping fuel. grounded - yes. removed and replaced oil fuel heat exchanger and servo fuel heater. ref b737-900 amm 79-21-02 and 73-11-07. ops & lk check good.,Yes,,,,,,,
74,"steady fuel leak right wing from access panel out board of #2 engine. grounded - yes. found running leak at panel g32db. removed and replaced fuel panel g32db, ref b737-800 amm 28-11-11.",Yes,,,,,,,
75,right center fuel pump low pressure light on with 5kt fuel in center tank. grounded - yes. removed & replaced right center fue left pump pressure switch. iaw b737-800 amm 28-42-11.,Yes,,,,,,,
76,#2 aft fuel low pressure light did not illuminate when switch turned off. grounded - yes. performed fuel quantity built in test equipment t estimate iaw b737-900 amm 28-41-00. no faults found. performed master lights test iaw amm 33-18-00. #2 aft fuel pump low pres sure light illuminates during test. confirmed #2 aft fuel pump properly turns on and off iaw amm 28-22-41. removed and right eplaced #2 aft fuel boost pump pressure switch ref amm 28-42-11. operation check good. system returned to normal.,Yes,,,,,,,
77,"center-right fuel pump "" low pressure "" light illuminated with 3,500 pounds of fuel remaining. grounded - yes. removed and replaced center-right fuel pressure switch ref b737-800 amm 28-42-11.",Yes,,,,,,,
78,"shortly after level off at fl 400, with 1100 bls of fuel in center tank. center fuel pump switches were placed on and lo w pressure lights illuminated. after cycling both center pump switches 3-4 times the left low pressure light extinguished, but the right low pressure light-remained illuminated. grounded yes. removed and replaced right center fuel boost pump pressure switch, ref b737-800 amm 28-42-11. able to duplicated fault. inspected and found right side pressure switch fault y. transferred fuel from center tank to both mains and mains to center tank. performed fuel boost pump pressure switch ops test, ref b737-800 amm 24-42-11. system ops test normal.",Yes,,,,,,,
79,left aft fuel pump eicas message illuminated after blockout. aircraft btb and grounded by maintenance. fuel pump was deferred iaw mel 28-22-1 and aircraft released.,Yes,,,,,,,
80,fuel leak noted at #2 engine. grounded - yes. on deferral.,Yes,,,,,,,
81,"left main fuel tank aft pump low pressure light illuminated, qrh completed - pump off. no other indications. grounded - yes. removed and replaced #1 aft fuel boost pump ref b737-900 amm 28-22-41-000-801 and 28-22-41-400-801. accomplished fuel boost pump operational test on # 1 aft pump op ' s ck leak ck good. ground verification check ' s good ref amm 28-22-41-7 10-801.",Yes,,,,,,,
82,"aircraft was grounded : after takeoff fuel imbalance between wing tanks. appeared that fuel was feeding from left fuel tank. the mel indicated the low pressure light inoperative however - seems the pump itself is the issue. aircraft divert ed to stl. on landing with the center tank pumps on the right center. low pressure light was on with 1.80 in center tank. left external fuel tank center. tank pump light was off. removed and replaced left center boost pump ( aala202208087896 ) iaw amm 28-22-41. replaced aft left boost pump ( aala202208099172 ) per amm 28-22-41 replaced relays r54 ( aala202208091744 ), k9901 ( aala202208 094979 ) and k9902 ( aala202208098329 ). replaced universal fault interrupter ram m9060 ( aala202208099550 ) per amm 28-22-99",Yes,,,,,,,
83,"during climb and cruise. fuel totalizer on the flight management computer progress page became eratic with fuel totals dropping up to 600 pounds and then climbing up 500-600 pounds on the landing total. grounded - yes. accomplishedb737-900 fim 28-41 task 814 sump fuel tanks, no water found. performed fqis built in test equipment test, ground test pass, fuel indication is correct.",Yes,,,,,,,
